 label | level | dimension |                                                                      q_expansion                                                                       | lower_bound | upper_bound | order_of_torsion |        l1         | analytic_rank 
 61a   |    61 | 1         | q - q^2 - 2*q^3 - q^4 - 3*q^5 + O(q^6)                                                                                                                 | 1           | 1           | 1                | 0.000000000000000 | 1
 61b   |    61 | 3         | q + a1*q^2 + (-a1^2 + 3)*q^3 + (a1^2 - 2)*q^4 + (a1^2 - 2*a1 - 2)*q^5 + O(q^6)                                                                         | 5           | 5           | 5                | 0.906923542923018 | 0
 62a   |    62 | 1         | q + q^2 + q^4 - 2*q^5 + O(q^6)                                                                                                                         | 4           | 4           | 4                | 1.10874066036176  | 0
 62b   |    62 | 2         | q - q^2 + (a1 + 1)*q^3 + q^4 - 2*a1*q^5 + O(q^6)                                                                                                       | 6           | 6           | 6                | 0.599835918323651 | 0
 63a   |    63 | 1         | q + q^2 - q^4 + 2*q^5 + O(q^6)                                                                                                                         | 2           | 2           | 2                | 1.10331046433569  | 0
 63b   |    63 | 2         | q + a1*q^2 + q^4 - 2*a1*q^5 + O(q^6)                                                                                                                   | 6           | 12          | ?                | 0.753280541559734 | 0
 64a   |    64 | 1         | q + 2*q^5 + O(q^6)                                                                                                                                     | 4           | 4           | 4                | 0.927037338650686 | 0
 65c   |    65 | 2         | q + a2*q^2 + (-a2 + 1)*q^3 + q^4 - q^5 + O(q^6)                                                                                                        | 6           | 6           | 6                | 0.912250878037956 | 0
 65a   |    65 | 1         | q - q^2 - 2*q^3 - q^4 - q^5 + O(q^6)                                                                                                                   | 2           | 2           | 2                | 0.000000000000000 | 1
 65b   |    65 | 2         | q + a1*q^2 + (a1 + 1)*q^3 + (-2*a1 - 1)*q^4 + q^5 + O(q^6)                                                                                             | 14          | 14          | 14               | 0.452067831873099 | 0
 66c   |    66 | 1         | q + q^2 + q^3 + q^4 - 4*q^5 + O(q^6)                                                                                                                   | 10          | 10          | 10               | 1.19161481561249  | 0
 66b   |    66 | 1         | q + q^2 - q^3 + q^4 + 2*q^5 + O(q^6)                                                                                                                   | 4           | 4           | 4                | 1.10219253012161  | 0
 66a   |    66 | 1         | q - q^2 + q^3 + q^4 + O(q^6)                                                                                                                           | 6           | 6           | 6                | 0.797091457347323 | 0
 67b   |    67 | 2         | q + a1*q^2 + (-a1 - 3)*q^3 + (-3*a1 - 3)*q^4 - 3*q^5 + O(q^6)                                                                                          | 1           | 1           | 1                | 0.000000000000000 | 2
 67a   |    67 | 1         | q + 2*q^2 - 2*q^3 + 2*q^4 + 2*q^5 + O(q^6)                                                                                                             | 1           | 1           | 1                | 1.27377003654506  | 0
 67c   |    67 | 2         | q + a2*q^2 + (a2 + 1)*q^3 + (-a2 - 1)*q^4 + (-2*a2 + 1)*q^5 + O(q^6)                                                                                   | 11          | 11          | 11               | 0.672640062095990 | 0
 68a   |    68 | 2         | q - 1/2*a0*q^3 + (a0 + 2)*q^5 + O(q^6)                                                                                                                 | 6           | 6           | 6                | 0.992816222387406 | 0
 69b   |    69 | 2         | q + a1*q^2 - q^3 + 3*q^4 + (-a1 - 1)*q^5 + O(q^6)                                                                                                      | 4           | 4           | 4                | 0.660089695855340 | 0
 69a   |    69 | 1         | q + q^2 + q^3 - q^4 + O(q^6)                                                                                                                           | 2           | 2           | 2                | 1.20293193378049  | 0
 70a   |    70 | 1         | q + q^2 + q^4 - q^5 + O(q^6)                                                                                                                           | 4           | 4           | 4                | 1.18030434655766  | 0
 71a   |    71 | 3         | q + a0*q^2 - a0*q^3 + (a0^2 - 2)*q^4 + (-a0^2 + a0 + 5)*q^5 + O(q^6)                                                                                   | 7           | 7           | 7                | 0.707921099457509 | 0
 71b   |    71 | 3         | q + a1*q^2 + (-a1^2 + 3)*q^3 + (a1^2 - 2)*q^4 + (-a1 - 1)*q^5 + O(q^6)                                                                                 | 5           | 5           | 5                | 0.512128008762672 | 0
 72a   |    72 | 1         | q + 2*q^5 + O(q^6)                                                                                                                                     | 4           | 4           | 4                | 0.973268421137560 | 0
 73c   |    73 | 2         | q + a2*q^2 + (-a2 + 1)*q^3 + (a2 + 1)*q^4 - a2*q^5 + O(q^6)                                                                                            | 3           | 3           | 3                | 1.18701324236231  | 0
 73b   |    73 | 2         | q + a1*q^2 + (-a1 - 3)*q^3 + (-3*a1 - 3)*q^4 + a1*q^5 + O(q^6)                                                                                         | 1           | 1           | 1                | 0.000000000000000 | 2
 73a   |    73 | 1         | q + q^2 - q^4 + 2*q^5 + O(q^6)                                                                                                                         | 2           | 2           | 2                | 1.18266046724133  | 0
 74b   |    74 | 2         | q + q^2 + (-1/2*a1 + 1/2)*q^3 + q^4 + (3/2*a1 - 5/2)*q^5 + O(q^6)                                                                                      | 19          | 19          | 19               | 1.40505136439201  | 0
 74a   |    74 | 2         | q - q^2 + (-1/2*a0 - 1/2)*q^3 + q^4 + (1/2*a0 + 3/2)*q^5 + O(q^6)                                                                                      | 3           | 3           | 3                | 0.729634831652566 | 0
 75b   |    75 | 1         | q + q^2 + q^3 - q^4 + O(q^6)                                                                                                                           | 2           | 2           | 2                | 1.25273744485949  | 0
 75a   |    75 | 1         | q - 2*q^2 + q^3 + 2*q^4 + O(q^6)                                                                                                                       | 5           | 5           | 5                | 0.627234929496392 | 0
 75c   |    75 | 1         | q + 2*q^2 - q^3 + 2*q^4 + O(q^6)                                                                                                                       | 1           | 1           | 1                | 1.40253994021622  | 0
 76a   |    76 | 1         | q + 2*q^3 - q^5 + O(q^6)                                                                                                                               | 1           | 1           | 1                | 1.11041974651228  | 0
 77c   |    77 | 1         | q + q^2 + 2*q^3 - q^4 - 2*q^5 + O(q^6)                                                                                                                 | 2           | 2           | 2                | 1.32580742924559  | 0
 77d   |    77 | 2         | q + a3*q^2 + (-a3 + 1)*q^3 + 3*q^4 - 2*q^5 + O(q^6)                                                                                                    | 4           | 4           | 4                | 1.07058642446191  | 0
 77a   |    77 | 1         | q - 3*q^3 - 2*q^4 - q^5 + O(q^6)                                                                                                                       | 1           | 1           | 1                | 0.000000000000000 | 1
 77b   |    77 | 1         | q + q^3 - 2*q^4 + 3*q^5 + O(q^6)                                                                                                                       | 3           | 3           | 3                | 1.03260671042324  | 0
 78a   |    78 | 1         | q - q^2 - q^3 + q^4 + 2*q^5 + O(q^6)                                                                                                                   | 2           | 2           | 2                | 0.725217963088296 | 0
 79b   |    79 | 5         | q + a1*q^2 + (-a1^4 + a1^3 + 3*a1^2 - 3*a1 + 1)*q^3 + (a1^2 - 2)*q^4 + (a1^4 - 4*a1^2 - a1 + 3)*q^5 + O(q^6)                                           | 13          | 13          | 13               | 0.738094871631965 | 0
 79a   |    79 | 1         | q - q^2 - q^3 - q^4 - 3*q^5 + O(q^6)                                                                                                                   | 1           | 1           | 1                | 0.000000000000000 | 1
 80a   |    80 | 1         | q + q^5 + O(q^6)                                                                                                                                       | 4           | 4           | 4                | 1.00945290998921  | 0
 80b   |    80 | 1         | q + 2*q^3 - q^5 + O(q^6)                                                                                                                               | 2           | 2           | 2                | 1.13708259952054  | 0
 81a   |    81 | 2         | q + a0*q^2 + q^4 - a0*q^5 + O(q^6)                                                                                                                     | 3           | 3           | 3                | 0.895035720224006 | 0
 82a   |    82 | 1         | q - q^2 - 2*q^3 + q^4 - 2*q^5 + O(q^6)                                                                                                                 | 2           | 2           | 2                | 0.000000000000000 | 1
 82b   |    82 | 2         | q + q^2 + (a1 - 1)*q^3 + q^4 + (-2*a1 + 2)*q^5 + O(q^6)                                                                                                | 14          | 14          | 14               | 1.62110339508665  | 0
 83a   |    83 | 1         | q - q^2 - q^3 - q^4 - 2*q^5 + O(q^6)                                                                                                                   | 1           | 1           | 1                | 0.000000000000000 | 1
 83b   |    83 | 6         | q + a1*q^2 + (1/2*a1^4 - 1/2*a1^3 - 7/2*a1^2 + 3/2*a1 + 4)*q^3 + (a1^2 - 2)*q^4 + (-1/2*a1^5 - 1/2*a1^4 + 9/2*a1^3 + 7/2*a1^2 - 8*a1 - 2)*q^5 + O(q^6) | 41          | 41          | 41               | 1.06036017598823  | 0
 84b   |    84 | 1         | q + q^3 + O(q^6)                                                                                                                                       | 6           | 6           | 6                | 1.09515855458280  | 0
 84a   |    84 | 1         | q - q^3 + 4*q^5 + O(q^6)                                                                                                                               | 2           | 2           | 2                | 0.972461975267113 | 0
 85c   |    85 | 2         | q + a2*q^2 + (-a2 + 1)*q^3 + q^4 + q^5 + O(q^6)                                                                                                        | 6           | 6           | 6                | 1.17439776942138  | 0
 85a   |    85 | 1         | q + q^2 + 2*q^3 - q^4 - q^5 + O(q^6)                                                                                                                   | 2           | 2           | 2                | 1.39769221827188  | 0
 85b   |    85 | 2         | q + a1*q^2 + (-a1 - 3)*q^3 + (-2*a1 - 1)*q^4 - q^5 + O(q^6)                                                                                            | 2           | 2           | 2                | 0.000000000000000 | 2
 86b   |    86 | 2         | q + q^2 + (-1/2*a1 + 1/2)*q^3 + q^4 + (1/2*a1 - 3/2)*q^5 + O(q^6)                                                                                      | 11          | 11          | 11               | 1.77070962607545  | 0
 86a   |    86 | 2         | q - q^2 + (-1/2*a0 - 1/2)*q^3 + q^4 + (1/2*a0 + 3/2)*q^5 + O(q^6)                                                                                      | 3           | 3           | 3                | 0.576869660990015 | 0
 87a   |    87 | 2         | q + a0*q^2 + q^3 + (a0 - 1)*q^4 + (-2*a0 + 2)*q^5 + O(q^6)                                                                                             | 5           | 5           | 5                | 1.43234362752271  | 0
 87b   |    87 | 3         | q + a1*q^2 - q^3 + (a1^2 - 2)*q^4 + (-2*a1^2 + 8)*q^5 + O(q^6)                                                                                         | 8           | 8           | 8                | 1.15062760712137  | 0
 88a   |    88 | 1         | q - 3*q^3 - 3*q^5 + O(q^6)                                                                                                                             | 1           | 1           | 1                | 0.000000000000000 | 1
 88b   |    88 | 2         | q + a1*q^3 + (-a1 + 2)*q^5 + O(q^6)                                                                                                                    | 8           | 8           | 8                | 1.16123853326829  | 0
 89a   |    89 | 1         | q - q^2 - q^3 - q^4 - q^5 + O(q^6)                                                                                                                     | 1           | 1           | 1                | 0.000000000000000 | 1
 89b   |    89 | 1         | q + q^2 + 2*q^3 - q^4 - 2*q^5 + O(q^6)                                                                                                                 | 2           | 2           | 2                | 1.42230482922711  | 0
 89c   |    89 | 5         | q + a2*q^2 + (-1/2*a2^4 + 1/2*a2^3 + 7/2*a2^2 - 5/2*a2 - 4)*q^3 + (a2^2 - 2)*q^4 + (-a2^2 + 4)*q^5 + O(q^6)                                            | 11          | 11          | 11               | 0.416561250441893 | 0
 90c   |    90 | 1         | q + q^2 + q^4 + q^5 + O(q^6)                                                                                                                           | 4           | 4           | 4                | 1.33759599458865  | 0
 90a   |    90 | 1         | q - q^2 + q^4 + q^5 + O(q^6)                                                                                                                           | 6           | 6           | 6                | 0.819978457057980 | 0
 90b   |    90 | 1         | q + q^2 + q^4 - q^5 + O(q^6)                                                                                                                           | 6           | 6           | 6                | 1.32369808618045  | 0
 91d   |    91 | 3         | q + a3*q^2 + (-a3^2 + a3 + 2)*q^3 + (a3^2 - 2)*q^4 + (-a3 + 1)*q^5 + O(q^6)                                                                            | 16          | 16          | 16               | 0.839576730476007 | 0
 91a   |    91 | 1         | q - 2*q^2 + 2*q^4 - 3*q^5 + O(q^6)                                                                                                                     | 1           | 1           | 1                | 0.000000000000000 | 1
 91c   |    91 | 2         | q + a2*q^2 - a2*q^3 + (a2 + 3)*q^5 + O(q^6)                                                                                                            | 7           | 7           | 7                | 1.07320820537120  | 0
 91b   |    91 | 1         | q - 2*q^3 - 2*q^4 - 3*q^5 + O(q^6)                                                                                                                     | 3           | 3           | 3                | 0.000000000000000 | 1
 92a   |    92 | 1         | q - 3*q^3 - 2*q^5 + O(q^6)                                                                                                                             | 1           | 1           | 1                | 0.000000000000000 | 1
 92b   |    92 | 1         | q + q^3 + O(q^6)                                                                                                                                       | 3           | 3           | 3                | 1.13679747811374  | 0
 93a   |    93 | 2         | q + a0*q^2 - q^3 + (-3*a0 - 3)*q^4 + (-2*a0 - 5)*q^5 + O(q^6)                                                                                          | 1           | 1           | 1                | 0.000000000000000 | 2
 93b   |    93 | 3         | q + a1*q^2 + q^3 + (a1^2 - 2)*q^4 + (-a1^2 - a1 + 2)*q^5 + O(q^6)                                                                                      | 32          | 256         | ?                | 1.23615798264395  | 0
 94a   |    94 | 1         | q + q^2 + q^4 + O(q^6)                                                                                                                                 | 2           | 2           | 2                | 1.35673450659102  | 0
 94b   |    94 | 2         | q - q^2 + (a1 + 1)*q^3 + q^4 + (-1/2*a1 + 3/2)*q^5 + O(q^6)                                                                                            | 2           | 2           | 2                | 0.651929759650875 | 0
 95b   |    95 | 4         | q + a1*q^2 + (-a1^3 + 5*a1 - 2)*q^3 + (a1^2 - 2)*q^4 - q^5 + O(q^6)                                                                                    | 12          | 12          | 12               | 0.529665190492118 | 0
 95a   |    95 | 3         | q + a0*q^2 + (-a0^2 + 3)*q^3 + (a0^2 - 2)*q^4 + q^5 + O(q^6)                                                                                           | 20          | 20          | 20               | 1.59687433255619  | 0
 96b   |    96 | 1         | q + q^3 + 2*q^5 + O(q^6)                                                                                                                               | 4           | 4           | 4                | 1.17142008414677  | 0
 96a   |    96 | 1         | q - q^3 + 2*q^5 + O(q^6)                                                                                                                               | 4           | 4           | 4                | 1.00107738045611  | 0
 97b   |    97 | 4         | q + a1*q^2 + (-a1^2 + a1 + 2)*q^3 + (a1^2 - 2)*q^4 + (-a1 + 1)*q^5 + O(q^6)                                                                            | 8           | 8           | 8                | 2.14688551242346  | 0
 97a   |    97 | 3         | q + a0*q^2 + (-a0^2 - 3*a0 - 2)*q^3 + (a0^2 - 2)*q^4 + (2*a0^2 + 5*a0 - 1)*q^5 + O(q^6)                                                                | 1           | 1           | 1                | 0.000000000000000 | 3
 98b   |    98 | 2         | q + q^2 + (a1 - 1)*q^3 + q^4 + (-2*a1 + 2)*q^5 + O(q^6)                                                                                                | 14          | 14          | 14               | 1.89696385132283  | 0
 98a   |    98 | 1         | q - q^2 + 2*q^3 + q^4 + O(q^6)                                                                                                                         | 2           | 2           | 2                | 1.00197719576988  | 0
 99d   |    99 | 1         | q + 2*q^2 + 2*q^4 - q^5 + O(q^6)                                                                                                                       | 1           | 1           | 1                | 1.68449633297548  | 0
 99a   |    99 | 1         | q - q^2 - q^4 - 4*q^5 + O(q^6)                                                                                                                         | 2           | 2           | 2                | 0.000000000000000 | 1
 99b   |    99 | 1         | q - q^2 - q^4 + 2*q^5 + O(q^6)                                                                                                                         | 4           | 4           | 4                | 0.792307403879880 | 0
 99c   |    99 | 1         | q + q^2 - q^4 + 4*q^5 + O(q^6)                                                                                                                         | 2           | 2           | 2                | 1.36429229569126  | 0
 100a  |   100 | 1         | q + 2*q^3 + O(q^6)                                                                                                                                     | 2           | 2           | 2                | 1.26309896227624  | 0
(143 rows)

